Designator,Mid X,Mid Y,Rotation,Layer
C1,14.31,76.71,180.0,top
C10,45.108,42.22,180.0,top
C11,53.58,13.99,270.0,top
C12,36.304,59.217369,0.0,top
C13,49.88,40.79,270.0,top
C14,49.9,26.38,270.0,top
C15,49.92,11.94,270.0,top
C16,53.95,70.09,270.0,top
C17,39.98,66.48,270.0,top
C18,26.8,14.47,180.0,top
C2,40.814,32.48,180.0,top
C3,17.07,10.02,270.0,top
C4,39.164,8.775,270.0,top
C5,45.914,51.0,90.0,top
C6,45.1,13.36,180.0,top
C7,53.58,42.8,270.0,top
C8,45.102,27.8,180.0,top
C9,53.58,28.41,270.0,top
D1,10.2025,72.07,0.0,top
D2,43.374,52.1,90.0,top
D3,10.2055,75.24,0.0,top
J1,59.2,60.63,90.0,top
J10,28.33,3.76,0.0,top
J12,44.78,3.76,0.0,top
J13,51.99,3.76,0.0,top
J19,3.75182,60.87818,270.0,top
J2,4.926285,70.83216,270.0,top
J20,3.75182,53.66818,270.0,top
J21,3.75182,46.45818,270.0,top
J22,3.751645,39.24818,270.0,top
J23,3.75182,32.03818,270.0,top
J24,3.751645,24.82818,270.0,top
J25,3.75182,17.61818,270.0,top
J26,3.753045,10.40966,270.0,top
J28,9.6,59.60182,180.0,top
J29,9.6,52.39182,180.0,top
J3,58.033715,70.83,90.0,top
J30,9.6,45.18182,180.0,top
J31,9.599825,37.97182,180.0,top
J32,9.6,30.76182,180.0,top
J33,9.59784,23.55318,180.0,top
J34,9.59784,16.34318,180.0,top
J35,9.59784,9.13466,180.0,top
J4,59.2,46.65,90.0,top
J5,59.2,39.44,90.0,top
J6,59.2,32.22404,90.0,top
J7,59.2,25.01404,90.0,top
J8,59.196,17.8,90.0,top
J9,59.196,10.58,90.0,top
JP1,22.18,3.9632,0.0,top
JP11,10.1825,72.07,0.0,bottom
JP12,33.412824,75.36,0.0,top
JP13,38.492824,75.36,0.0,top
JP14,43.572824,75.36,0.0,top
JP15,48.652824,75.36,0.0,top
JP2,17.1,3.97,0.0,top
JP3,7.16,71.82,90.0,top
JP4,55.80743,71.82,90.0,top
JP5,10.2255,75.24,0.0,bottom
JP7,44.756726,42.22,180.0,bottom
JP8,44.748726,27.8,180.0,bottom
JP9,44.746726,13.36,180.0,bottom
Q1,55.09,53.74,270.0,top
R1,24.97,72.68,0.0,top
R10,12.186615,54.182955,90.0,top
R11,13.4,70.99,90.0,top
R12,13.4,66.97,90.0,top
R13,31.296382,67.656893,0.0,top
R14,36.674431,67.656201,0.0,top
R15,29.76818,14.47,180.0,top
R16,12.186615,51.172955,270.0,top
R17,12.186615,48.162955,90.0,top
R18,12.186615,45.152955,270.0,top
R19,12.186615,42.142955,90.0,top
R2,28.97,72.68,0.0,top
R20,12.186615,39.132955,270.0,top
R21,12.186615,36.127955,90.0,top
R22,12.186615,33.117955,90.0,top
R23,12.186615,30.112955,90.0,top
R24,12.186615,27.102955,90.0,top
R25,12.186615,24.087955,90.0,top
R26,12.186615,21.077955,90.0,top
R27,12.186615,18.067955,90.0,top
R28,12.186615,15.057955,90.0,top
R29,10.2055,70.56,180.0,top
R3,14.309003,75.19,0.0,top
R30,40.844,20.85,90.0,top
R31,43.104,56.39,180.0,top
R32,39.98,69.505,90.0,top
R33,35.70318,14.47182,0.0,top
R34,32.73318,14.47182,180.0,top
R35,39.164,11.785,90.0,top
R36,41.594,18.59,180.0,top
R37,41.594,17.08,180.0,top
R38,41.594,15.57,180.0,top
R4,10.2055,76.76,180.0,top
R5,53.195,47.85,270.0,top
R6,53.19216,33.42,270.0,top
R7,53.19,18.9975,270.0,top
R8,12.19034,60.207955,90.0,top
R9,12.186615,57.192955,270.0,top
SJ_A0,29.699077,76.462021,270.0,top
SJ_A1,27.159077,76.462021,270.0,top
SJ_A2,24.619077,76.462021,270.0,top
SJ_A3,22.079077,76.462021,270.0,top
SJ_A4,19.539077,76.462021,270.0,top
SJ_A5,16.999077,76.462021,270.0,top
Sign_Pb-Free,44.6632,62.43496,180.0,bottom
Sign_RoHS,61.7745,50.7365,0.0,bottom
TP1,17.000922,76.494021,270.0,bottom
TP2,19.540922,76.494021,270.0,bottom
TP3,22.080922,76.494021,270.0,bottom
TP4,24.620922,76.494021,270.0,bottom
TP5,27.160922,76.494021,270.0,bottom
TP6,29.700922,76.494021,270.0,bottom
U$47,2.51,76.81,0.0,top
U$48,2.5,2.517806,0.0,top
U$49,60.45,76.806,0.0,top
U$50,60.446,2.516,0.0,top
U1,19.3522,69.5517,270.0,top
U10,18.326615,45.58591,0.0,top
U11,18.326615,39.82591,0.0,top
U12,18.326615,34.07591,0.0,top
U13,18.326615,28.31591,0.0,top
U14,18.326615,22.55591,0.0,top
U15,18.326615,16.79591,0.0,top
U16,21.09,9.7,0.0,top
U17,35.424,9.095,0.0,top
U2,47.825,45.755,0.0,top
U3,47.82,31.33,0.0,top
U4,47.815,16.895,0.0,top
U5,38.094,57.03,180.0,top
U6,50.32,68.785,180.0,top
U7,31.25,21.28,180.0,top
U8,18.326615,57.10591,0.0,top
U9,18.326615,51.34591,0.0,top
